id,FIPS,x,y,POP10
1147,42121.0,1363880.2109703429,381124.5067999827,1005.0
1148,42031.0,1363880.2109703429,371124.5067999831,3309.0
1149,42031.0,1363880.2109703426,361124.50679998635,1492.0
1150,42031.0,1363880.2109703433,351124.50679998257,801.0
1151,42005.0,1363880.2109703429,341124.50679998583,2563.0
1152,42005.0,1363880.2109703433,331124.50679998344,2585.0
1153,42005.0,1363880.210970343,321124.506799981,2500.0
1154,42005.0,1363880.2109703436,311124.50679998146,8624.0
1155,42129.0,1363880.2109703436,301124.5067999847,35890.0
1156,42003.0,1363880.2109703436,291124.5067999823,27382.0
1157,42003.0,1363880.210970344,281124.5067999813,53797.0
1158,42129.0,1363880.2109703438,271124.50679998036,44308.0
1159,42003.0,1363880.2109703443,261124.50679998077,13626.0
1160,42129.0,1363880.210970343,251124.5067999812,16493.0
1161,42051.0,1363880.2109703433,241124.5067999816,14543.0
1162,42051.0,1363880.2109703436,231124.50679998062,11745.0
1163,42051.0,1363880.2109703443,221124.50679997966,6506.0
1164,42051.0,1363880.2109703443,211124.50679998007,6653.0
1165,42059.0,1363880.2109703436,201124.50679997908,3447.0
1230,,1372540.465008187,606124.5067999858,773.0
1231,36063.0,1372540.4650081866,596124.5067999904,4496.0
1232,36063.0,1372540.465008187,586124.5067999895,21957.0
1233,,1372540.4650081866,576124.506799987,26932.0
1234,,1372540.465008187,566124.5067999875,1151.0
1237,,1372540.4650081864,536124.5067999874,531.0
1238,,1372540.4650081864,526124.5067999878,4924.0
1239,36013.0,1372540.4650081873,516124.50679998536,5641.0
1240,36013.0,1372540.4650081873,506124.5067999844,1550.0
1241,36013.0,1372540.4650081873,496124.50679998624,660.0
1242,36013.0,1372540.4650081876,486124.50679998525,1728.0
1243,36013.0,1372540.4650081876,476124.5067999857,5883.0
1244,36013.0,1372540.4650081876,466124.5067999847,36196.0
1245,42123.0,1372540.4650081869,456124.50679998513,1902.0
1246,42123.0,1372540.4650081873,446124.506799987,2807.0
1247,42123.0,1372540.4650081878,436124.50679998455,1362.0
1248,42123.0,1372540.465008187,426124.5067999864,442.0
1249,42053.0,1372540.4650081878,416124.5067999826,462.0
1250,42053.0,1372540.465008187,406124.50679998443,803.0
1251,42053.0,1372540.4650081869,396124.5067999863,973.0
1252,42031.0,1372540.465008187,386124.50679998106,1693.0
1253,42031.0,1372540.4650081878,376124.5067999843,3207.0
1254,42031.0,1372540.4650081878,366124.5067999833,679.0
1255,42031.0,1372540.465008188,356124.50679998234,2079.0
1256,42031.0,1372540.4650081878,346124.5067999856,2318.0
1257,42005.0,1372540.465008188,336124.5067999832,1298.0
1258,42005.0,1372540.4650081876,326124.5067999851,11439.0
1259,42005.0,1372540.4650081876,316124.5067999826,4960.0
1260,42005.0,1372540.4650081869,306124.5067999831,11057.0
1261,42129.0,1372540.4650081876,296124.5067999835,8972.0
1262,42129.0,1372540.4650081876,286124.5067999811,15426.0
1263,42129.0,1372540.465008188,276124.5067999815,23713.0
1264,42129.0,1372540.4650081885,266124.50679998053,28328.0
1265,42129.0,1372540.4650081878,256124.50679998097,7601.0
1266,42051.0,1372540.465008188,246124.5067999814,5098.0
