FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
42129,Pennsylvania,Westmoreland County,1385974.15,2042662.979,350936.4,31400,8.68,31.0,78.2,20.98,75.8,8.0,0.1203,Urban
42131,Pennsylvania,Wyoming County,1643088.775,2230410.228,27048.0,2212,8.24,27.96,44.8,21.14,48.6,8.6,0.1289,Urban
42133,Pennsylvania,York County,1621663.153,2043017.974,447520.2,34422,8.62,30.42,72.0,19.54,70.4,8.4,0.3323,Urban
44001,Rhode Island,Bristol County,2018755.881,2342662.994,48691.4,3189,6.72,22.44,92.8,17.04,199.6,7.9,0.1544,Urban
44003,Rhode Island,Kent County,1995182.409,2331846.069,164234.6,13206,8.44,29.56,93.8,21.22,86.2,8.2,0.2183,Urban
44005,Rhode Island,Newport County,2026796.292,2326850.302,82540.8,5429,6.56,25.34,87.8,17.14,86.0,8.2,0.3027,Urban
44007,Rhode Island,Providence County,1990539.354,2353769.089,636518.4,50257,9.52,30.1,95.6,24.92,97.6,7.8,0.7893,Urban
44009,Rhode Island,Washington County,1998519.86,2309267.181,125988.0,8431,6.82,23.98,88.4,16.52,91.6,8.2,0.1257,Urban
50001,Vermont,Addison County,1808412.586,2556295.736,36867.2,2301,6.48,24.12,69.6,16.9,113.4,8.8,0.1394,Rural
50003,Vermont,Bennington County,1838659.544,2449275.467,35644.8,2672,7.42,26.88,97.8,17.76,104.4,8.1,0.3167,Urban
50005,Vermont,Caledonia County,1876819.026,2623329.601,30099.4,2181,7.44,28.96,61.4,21.0,83.6,8.2,0.339,Rural
50007,Vermont,Chittenden County,1801606.892,2604003.227,163311.0,7958,5.9,21.36,89.8,13.4,183.4,8.4,0.2132,Urban
50009,Vermont,Essex County,1897554.079,2658983.331,6188.4,603,8.64,27.96,39.4,22.92,19.2,7.2,0.3106,Urban
50011,Vermont,Franklin County,1803992.187,2650072.45,49289.6,3701,8.56,34.14,54.8,23.24,55.2,8.7,0.1232,Urban
50013,Vermont,Grand Isle County,1776265.093,2636288.745,7082.2,523,7.18,26.66,60.4,18.72,59.0,9.0,0.007,Urban
50015,Vermont,Lamoille County,1831549.473,2628073.027,25334.6,1488,6.56,23.0,70.0,17.76,89.4,8.4,0.1636,Rural
50017,Vermont,Orange County,1868323.709,2568346.078,28924.2,2183,7.52,28.8,56.2,17.78,83.8,8.4,0.1321,Urban
50019,Vermont,Orleans County,1855936.913,2659864.255,26909.0,2051,7.56,30.52,53.6,22.38,72.8,7.8,0.3129,Rural
50021,Vermont,Rutland County,1828543.331,2509418.815,58604.8,4714,7.94,32.06,81.2,19.76,77.6,8.1,0.3237,Urban
50023,Vermont,Washington County,1842580.514,2592608.186,58334.2,3541,6.38,23.88,78.4,14.76,104.2,8.3,0.1973,Urban
50025,Vermont,Windham County,1869695.705,2451839.421,42601.4,2663,6.04,23.72,69.0,15.54,102.6,8.0,0.38,Rural
50027,Vermont,Windsor County,1863703.194,2518119.884,55186.4,4025,7.0,26.92,79.8,16.66,107.8,8.4,0.1346,Urban
