x,y,Aspect,ELEV,FRG,K_Factor,MAP,MAT,NDVI,NLCD,Silt_Clay,Slope,TPI,NLCD,SOC
-715285,1693795,125.9506912,1445.429688,2,0.319999993,313.4057007,11.49475002,0.25830853,6,79.40000153,1.273187876,-0.057239369,1,5.80136911632734
-895285,1523795,153.1136017,2067.503662,3,0.2379798,324.1359558,9.300656319,0.263549715,5,40.66565704,7.327850342,-0.491559386,2,2.96627112120077
-835285,2453795,178.0728607,1346.600952,2,0.361237109,385.6967468,7.231855869,0.479866058,5,60.59072113,6.145263672,1.634532213,2,11.1263126579126
-655285,2243795,144.7091522,1306.946167,2,0.385352105,407.0018311,7.918450832,0.374543786,6,75.81549072,2.645070076,-0.167148769,1,9.23654633251679
-625285,1813795,202.6304626,1570.515381,2,0.319999993,393.5687866,9.334322929,0.336319596,6,65.54166412,2.168735266,-0.47810635,1,4.78280717628674
-1115285,1143795,195.6817474,1897.09375,1,0.150000006,448.1953125,12.65610027,0.270906746,5,59.59999847,10.34053707,-0.540427923,2,3.12527935177845
-1045285,1113795,182.7227325,1574.931519,3,0.106200002,343.6683044,16.07895088,0.24684754,5,63.18999863,12.34421539,15.22062492,2,3.9646834725912
-705285,1433795,166.6217651,1502.542847,3,0.133200005,407.3337097,12.66580009,0.335909337,5,42.73099899,6.587018013,2.362934828,2,3.73283549130179
-995285,2023795,186.7115631,2060.518311,4,0.128999993,465.5874939,6.096000195,0.320157468,5,29.25799942,5.013026237,-1.066233158,2,4.93202937813255
-695285,1033795,144.6219025,1010.855286,2,0.170000002,302.4896851,16.93950081,0.265116274,5,12.87199974,0.839301705,-0.331546307,2,1.51360310053722
-825285,2343795,197.244339,1412.845581,2,0.319999993,333.5686646,7.544011593,0.341828674,6,48.40930176,2.905967712,0.088806555,1,4.28702476255422
-1175285,1243795,206.480484,2077.547363,1,0.347900003,540.3850098,10.82929993,0.488554031,4,62.3370018,12.4868536,-4.483874321,4,5.4574458860712
