FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
13105,Georgia,Elbert County,1201057.911,1311274.263,19180.2,1423,7.86,21.16,55.4,18.74,48.0,6.4,0.9691,Rural
13107,Georgia,Emanuel County,1274318.468,1149501.496,22586.0,1726,9.38,25.94,40.4,18.92,44.2,5.6,0.9873,Rural
13109,Georgia,Evans County,1319776.971,1107445.306,10691.6,661,7.56,21.02,58.2,17.66,39.4,7.4,0.9644,Rural
13111,Georgia,Fannin County,1056523.936,1376613.19,25779.0,2501,8.34,23.4,86.4,22.06,48.0,8.1,0.4866,Rural
13113,Georgia,Fayette County,1060350.192,1213666.982,113575.4,8363,7.98,25.54,86.8,17.16,111.2,8.5,0.1397,Urban
13115,Georgia,Floyd County,983511.4296,1300252.571,97840.4,8668,10.56,29.36,69.6,26.74,133.8,6.7,0.9529,Urban
13117,Georgia,Forsyth County,1082914.224,1307948.074,236137.4,14273,7.92,24.96,84.0,17.7,38.8,9.0,0.07,Urban
13119,Georgia,Franklin County,1161855.577,1335144.383,23003.2,1540,7.36,21.8,41.2,17.54,26.0,7.5,0.7473,Rural
13121,Georgia,Fulton County,1057680.928,1255772.741,1051242.4,67255,8.56,25.38,92.6,20.18,110.0,7.1,0.69,Urban
13123,Georgia,Gilmer County,1046569.812,1355924.329,30914.0,2835,8.64,23.88,78.6,21.68,54.8,7.7,0.6544,Rural
13125,Georgia,Glascock County,1235765.269,1216094.351,3003.6,196,7.16,20.5,1.0,15.28,33.4,5.2,0.6639,Rural
13127,Georgia,Glynn County,1367612.98,1010378.056,85172.6,7416,9.4,26.5,78.6,24.12,52.0,6.8,0.7549,Urban
13129,Georgia,Gordon County,1011067.176,1330535.353,57684.2,4408,9.3,29.06,50.0,24.24,43.6,7.2,0.8721,Urban
13131,Georgia,Grady County,1119076.387,935895.365,24699.8,2139,9.96,25.34,59.4,22.4,50.2,7.0,0.9246,Rural
13133,Georgia,Greene County,1179492.3,1247682.041,17828.6,1533,7.88,23.36,51.6,20.52,59.2,7.3,0.5633,Rural
13135,Georgia,Gwinnett County,1095759.988,1279796.436,926810.6,66369,10.02,29.64,83.0,23.42,64.2,7.9,0.6015,Urban
13137,Georgia,Habersham County,1130864.957,1359803.544,45115.2,3113,7.88,24.34,78.2,20.28,48.8,7.5,0.6703,Urban
13139,Georgia,Hall County,1109248.869,1321624.535,201830.4,16101,9.96,29.1,77.6,22.72,57.2,7.9,0.7896,Urban
13141,Georgia,Hancock County,1199327.046,1215604.883,8500.0,799,9.24,21.12,9.0,16.18,14.2,4.6,0.902,Urban
13143,Georgia,Haralson County,989780.5921,1248202.62,29601.2,1753,6.96,22.36,47.6,20.14,43.2,7.6,0.422,Urban
13145,Georgia,Harris County,1031170.742,1134100.571,34671.6,3107,9.54,23.64,38.0,17.92,36.6,8.9,0.0675,Urban
13147,Georgia,Hart County,1186214.801,1335649.717,26011.4,2069,8.14,21.1,70.0,17.82,36.0,7.3,0.8116,Rural
13149,Georgia,Heard County,1003646.751,1193901.75,11798.4,788,7.46,20.52,28.0,16.18,17.0,7.5,0.8103,Urban
13151,Georgia,Henry County,1091082.441,1221936.754,230300.2,19969,11.4,34.02,80.4,23.1,47.8,7.5,0.4001,Urban
